Dates,BRLUSDV1M,BRLUSDV3M,BRLUSDV1Y,BRLUSDPX_LAST,BRLUSDPX_BID,BRLUSDPX_ASK
2000-01-03 00:00:00,,,,,,
2000-01-04 00:00:00,,,,,,
2000-01-05 00:00:00,,,,,,
2000-01-06 00:00:00,,,,,,
2000-01-07 00:00:00,,,,,,
2000-01-10 00:00:00,,,,,,
2000-01-11 00:00:00,,,,,,
2000-01-12 00:00:00,,,,,,
2000-01-13 00:00:00,,,,,,
2000-01-14 00:00:00,,,,,,
2000-01-17 00:00:00,,,,,,
2000-01-18 00:00:00,,,,,,
2000-01-19 00:00:00,,,,,,
2000-01-20 00:00:00,,,,,,
2000-01-21 00:00:00,,,,,,
2000-01-24 00:00:00,,,,,,
2000-01-25 00:00:00,,,,0.5623,,
2000-01-26 00:00:00,,,,0.5622,,
2000-01-27 00:00:00,,,,0.5617,,
2000-01-28 00:00:00,,,,0.5559,,
2000-01-31 00:00:00,,,,0.5605,,
2000-02-01 00:00:00,,,,0.5605,,
2000-02-02 00:00:00,,,,0.5599,0.559,0.5596
2000-02-03 00:00:00,,,,0.5607,0.559,0.5596
2000-02-04 00:00:00,,,,0.5656,0.559,0.5596
2000-02-07 00:00:00,,,,0.5653,0.559,0.5596
2000-02-08 00:00:00,,,,0.5667,0.559,0.5596
2000-02-09 00:00:00,,,,0.5654,0.559,0.5596
2000-02-10 00:00:00,,,,0.5659,0.559,0.5596
2000-02-11 00:00:00,,,,0.5655,0.559,0.5596
2000-02-14 00:00:00,,,,0.5643,0.559,0.5596
2000-02-15 00:00:00,,,,0.5631,0.559,0.5596
2000-02-16 00:00:00,,,,0.5637,0.559,0.5596
2000-02-17 00:00:00,,,,0.5647,0.564,0.5643
2000-02-18 00:00:00,,,,0.5628,0.564,0.5643
2000-02-21 00:00:00,,,,0.5623,0.564,0.5643
2000-02-22 00:00:00,,,,0.5599,0.564,0.5643
2000-02-23 00:00:00,,,,0.5607,0.564,0.5643
2000-02-24 00:00:00,,,,0.5628,0.564,0.5643
2000-02-25 00:00:00,,,,0.5637,0.564,0.5643
2000-02-28 00:00:00,,,,0.5628,0.564,0.5643
2000-02-29 00:00:00,,,,0.5661,0.564,0.5643
2000-03-01 00:00:00,,,,0.5672,0.564,0.5643
2000-03-02 00:00:00,,,,0.5693,0.564,0.5643
2000-03-03 00:00:00,,,,0.5731,0.564,0.5643
2000-03-06 00:00:00,,,,0.573,0.564,0.5643
2000-03-07 00:00:00,,,,0.5732,0.564,0.5643
2000-03-08 00:00:00,,,,0.5744,0.564,0.5643
2000-03-09 00:00:00,,,,0.5768,0.564,0.5643
2000-03-10 00:00:00,,,,0.5731,0.564,0.5643
2000-03-13 00:00:00,,,,0.5732,0.564,0.5643
2000-03-14 00:00:00,,,,0.5755,0.564,0.5643
2000-03-15 00:00:00,,,,0.5749,0.575,0.5747
2000-03-16 00:00:00,,,,0.575,0.5754,0.5747
2000-03-17 00:00:00,,,,0.575,0.5754,0.5747
2000-03-20 00:00:00,,,,0.5757,0.576,0.5754
2000-03-21 00:00:00,,,,0.5762,0.5764,0.576
2000-03-22 00:00:00,,,,0.5779,0.578,0.5777
2000-03-23 00:00:00,,,,0.5817,0.5821,0.5814
2000-03-24 00:00:00,,,,0.5772,0.5774,0.577
2000-03-27 00:00:00,,,,0.5709,0.5711,0.5708
2000-03-28 00:00:00,,,,0.5737,0.5741,0.5734
2000-03-29 00:00:00,,,,0.5732,0.5734,0.5731
2000-03-30 00:00:00,,,,0.5716,0.5718,0.5714
2000-03-31 00:00:00,,,,0.576,0.5764,0.5757
2000-04-03 00:00:00,,,,0.5744,0.5747,0.5741
2000-04-04 00:00:00,,,,0.5727,0.5731,0.5724
2000-04-05 00:00:00,,,,0.5721,0.5721,0.5718
2000-04-06 00:00:00,,,,0.5727,0.5731,0.5724
2000-04-07 00:00:00,,,,0.5744,0.5747,0.5741
2000-04-10 00:00:00,,,,0.5739,0.5741,0.5737
2000-04-11 00:00:00,,,,0.5734,0.5734,0.5741
2000-04-12 00:00:00,,,,0.5692,0.5692,0.5698
2000-04-13 00:00:00,,,,0.561,0.5605,0.5615
2000-04-14 00:00:00,,,,0.5596,0.5596,0.5602
2000-04-17 00:00:00,,,,0.5618,0.5618,0.5624
2000-04-18 00:00:00,,,,0.5672,0.5672,0.5679
2000-04-19 00:00:00,,,,0.5634,0.5634,0.564
2000-04-20 00:00:00,,,,0.5624,0.5621,0.5628
2000-04-21 00:00:00,,,,0.5624,0.5621,0.5628
2000-04-24 00:00:00,,,,0.5577,0.5577,0.558
2000-04-25 00:00:00,,,,0.5587,0.5587,0.5593
2000-04-26 00:00:00,,,,0.5546,0.5546,0.5556
2000-04-27 00:00:00,,,,0.5534,0.5531,0.5537
2000-04-28 00:00:00,,,,0.5531,0.5531,0.5537
2000-05-01 00:00:00,,,,0.5531,0.5531,0.5537
2000-05-02 00:00:00,,,,0.5543,0.5543,0.5549
2000-05-03 00:00:00,,,,0.5507,0.5507,0.5513
2000-05-04 00:00:00,,,,0.5522,0.5522,0.5525
2000-05-05 00:00:00,,,,0.5549,0.5549,0.5556
2000-05-08 00:00:00,,,,0.5534,0.5534,0.554
2000-05-09 00:00:00,,,,0.5516,0.5516,0.5522
2000-05-10 00:00:00,,,,0.5498,0.5495,0.5501
2000-05-11 00:00:00,,,,0.548,0.5477,0.5483
2000-05-12 00:00:00,,,,0.5444,0.5444,0.545
2000-05-15 00:00:00,,,,0.548,0.548,0.5486
2000-05-16 00:00:00,,,,0.5495,0.5495,0.5501
2000-05-17 00:00:00,,,,0.5462,0.5462,0.5468
2000-05-18 00:00:00,,,,0.5453,0.5453,0.5459
2000-05-19 00:00:00,,,,0.5438,0.5435,0.5441
2000-05-22 00:00:00,,,,0.54,0.54,0.5405
2000-05-23 00:00:00,,,,0.5388,0.5388,0.5394
2000-05-24 00:00:00,,,,0.5435,0.5432,0.5438
2000-05-25 00:00:00,,,,0.5413,0.5411,0.5414
2000-05-26 00:00:00,,,,0.5444,0.5441,0.5447
2000-05-29 00:00:00,,,,0.5441,0.5438,0.5444
2000-05-30 00:00:00,,,,0.5462,0.5459,0.5465
2000-05-31 00:00:00,,,,0.5483,0.548,0.5486
2000-06-01 00:00:00,,,,0.5498,0.5495,0.5501
2000-06-02 00:00:00,,,,0.5553,0.5549,0.5556
2000-06-05 00:00:00,,,,0.5584,0.558,0.5587
2000-06-06 00:00:00,,,,0.5554,0.5553,0.5556
2000-06-07 00:00:00,,,,0.5571,0.5568,0.5574
2000-06-08 00:00:00,,,,0.5546,0.5543,0.5549
2000-06-09 00:00:00,,,,0.5549,0.5546,0.5553
2000-06-12 00:00:00,,,,0.5537,0.5534,0.554
2000-06-13 00:00:00,,,,0.5522,0.5519,0.5525
2000-06-14 00:00:00,,,,0.5525,0.5522,0.5528
2000-06-15 00:00:00,,,,0.5522,0.5519,0.5525
2000-06-16 00:00:00,,,,0.5546,0.5543,0.5549
2000-06-19 00:00:00,,,,0.5546,0.5543,0.5549
2000-06-20 00:00:00,,,,0.5554,0.5553,0.5556
2000-06-21 00:00:00,,,,0.5522,0.5519,0.5525
2000-06-22 00:00:00,,,,0.552,0.5516,0.5525
2000-06-23 00:00:00,,,,0.5477,0.5474,0.548
2000-06-26 00:00:00,,,,0.5489,0.5486,0.5492
2000-06-27 00:00:00,,,,0.5486,0.5483,0.5489
2000-06-28 00:00:00,,,,0.5496,0.5495,0.5498
2000-06-29 00:00:00,,,,0.5525,0.5522,0.5528
2000-06-30 00:00:00,,,,0.5556,0.5553,0.5559
2000-07-03 00:00:00,,,,0.5513,0.551,0.5516
2000-07-04 00:00:00,,,,0.5523,0.5522,0.5525
2000-07-05 00:00:00,,,,0.5545,0.5543,0.5546
2000-07-06 00:00:00,,,,0.5551,0.5549,0.5553
2000-07-07 00:00:00,,,,0.5556,0.5553,0.5559
2000-07-10 00:00:00,,,,0.5576,0.5574,0.5577
2000-07-11 00:00:00,,,,0.5548,0.5546,0.5549
2000-07-12 00:00:00,,,,0.5548,0.5546,0.5549
2000-07-13 00:00:00,,,,0.5519,0.5516,0.5522
2000-07-14 00:00:00,,,,0.5549,0.5546,0.5553
2000-07-17 00:00:00,,,,0.5571,0.5568,0.5574
2000-07-18 00:00:00,,,,0.5566,0.5565,0.5568
2000-07-19 00:00:00,,,,0.5545,0.5543,0.5546
2000-07-20 00:00:00,,,,0.5565,0.5562,0.5568
2000-07-21 00:00:00,,,,0.5565,0.5562,0.5568
2000-07-24 00:00:00,,,,0.558,0.558,0.5587
2000-07-25 00:00:00,,,,0.558,0.558,0.5587
2000-07-26 00:00:00,,,,0.559,0.559,0.5593
2000-07-27 00:00:00,,,,0.5618,0.5618,0.5624
2000-07-28 00:00:00,,,,0.5605,0.5602,0.5609
2000-07-31 00:00:00,,,,0.562,0.5618,0.5621
2000-08-01 00:00:00,,,,0.5593,0.559,0.5596
2000-08-02 00:00:00,,,,0.5571,0.5568,0.5574
2000-08-03 00:00:00,,,,0.5577,0.5574,0.558
2000-08-04 00:00:00,,,,0.558,0.5577,0.5584
2000-08-07 00:00:00,,,,0.5568,0.5565,0.5571
2000-08-08 00:00:00,,,,0.5571,0.5568,0.5574
2000-08-09 00:00:00,,,,0.557,0.5568,0.5571
2000-08-10 00:00:00,,,,0.5568,0.5565,0.5571
2000-08-11 00:00:00,,,,0.5559,0.5556,0.5562
2000-08-14 00:00:00,,,,0.5546,0.5543,0.5549
2000-08-15 00:00:00,,,,0.5545,0.5543,0.5546
2000-08-16 00:00:00,,,,0.5522,0.5519,0.5525
2000-08-17 00:00:00,,,,0.5525,0.5522,0.5528
2000-08-18 00:00:00,,,,0.5504,0.5501,0.5507
2000-08-21 00:00:00,,,,0.549,0.5489,0.5492
2000-08-22 00:00:00,,,,0.5507,0.5504,0.551
2000-08-23 00:00:00,,,,0.5489,0.5486,0.5492
2000-08-24 00:00:00,,,,0.5495,0.5492,0.5498
2000-08-25 00:00:00,,,,0.5484,0.5483,0.5486
2000-08-28 00:00:00,,,,0.546,0.5459,0.5462
2000-08-29 00:00:00,,,,0.5474,0.5471,0.5477
2000-08-30 00:00:00,,,,0.5484,0.5483,0.5486
2000-08-31 00:00:00,,,,0.5484,0.5483,0.5486
2000-09-01 00:00:00,,,,0.5483,0.5483,0.5486
2000-09-04 00:00:00,,,,0.5477,0.5474,0.548
2000-09-05 00:00:00,,,,0.5492,0.5489,0.5495
