Dates,EURUSDV1M,EURUSDV3M,EURUSDV1Y,EURUSDPX_LAST,EURUSDPX_BID,EURUSDPX_ASK
2000-01-03,11.95,11.625,11.3,,,
2000-01-04,13.0,12.05,11.4,,,
2000-01-05,12.45,11.75,11.3,,,
2000-01-06,11.88,11.63,11.23,,,
2000-01-07,11.38,11.38,11.08,,,
2000-01-10,11.15,11.025,10.9,,,
2000-01-11,11.15,11.025,10.9,,,
2000-01-12,11.125,11.025,10.775,,,
2000-01-13,10.45,10.5,10.5,,,
2000-01-14,10.4,10.45,10.6,,,
2000-01-17,10.9,10.7,10.6,,,
2000-01-18,10.9,10.85,10.7,,,
2000-01-19,10.8,10.8,10.65,,,
2000-01-20,10.75,10.8,10.7,,,
2000-01-21,10.775,10.8,10.725,,,
2000-01-24,10.9,10.8,10.7,,,
2000-01-25,10.5,10.65,10.65,0.9991,,
2000-01-26,10.5,10.65,10.6,0.9981,,
2000-01-27,10.95,10.8,10.8,1.0119,,
2000-01-28,11.55,11.4,11.15,1.026,,
2000-01-31,12.9,12.35,11.6,1.0302,,
2000-02-01,12.7,11.95,11.4,1.0298,,
2000-02-02,12.9,12.15,11.5,1.0241,,
2000-02-03,12.6,12.0,11.45,1.0107,,
2000-02-04,12.45,12.0,11.475,1.0171,,
2000-02-07,12.35,12.15,11.4,1.0188,,
2000-02-08,12.4,12.0,11.45,1.0147,,
2000-02-09,12.775,12.175,11.475,1.0058,,
2000-02-10,12.56,12.01,11.325,1.0148,,
2000-02-11,11.6,11.6,11.25,1.0127,,
2000-02-14,12.0,11.82,11.35,1.0222,,
2000-02-15,11.9,11.82,11.35,1.0188,,
2000-02-16,12.0,11.8,11.35,1.0139,,
2000-02-17,11.92,12.0,11.45,1.0124,,
2000-02-18,11.66,11.76,11.315,1.0164,,
2000-02-21,11.5,11.55,11.25,1.0125,,
2000-02-22,12.25,11.85,11.53,0.9962,,
2000-02-23,11.6,11.5,11.2,0.9964,,
2000-02-24,11.95,11.65,11.25,1.0081,,
2000-02-25,12.625,12.1,11.35,1.0257,,
2000-02-28,15.55,13.35,12.1,1.03,,
2000-02-29,15.7,13.75,12.3,1.0371,,
2000-03-01,14.9,12.9,11.85,1.0281,,
2000-03-02,14.95,12.9,11.95,1.0356,,
2000-03-03,14.7,13.1,11.9,1.0432,,
2000-03-06,15.1,13.225,11.95,1.0432,,
2000-03-07,15.2,13.35,12.05,1.0434,,
2000-03-08,15.1,13.2,12.1,1.0406,,
2000-03-09,14.6,12.95,11.85,1.0342,,
2000-03-10,13.9,12.6,11.75,1.0377,,
2000-03-13,14.25,12.8,12.0,1.0371,,
2000-03-14,13.98,12.7,11.75,1.0324,,
2000-03-15,13.85,12.7,11.8,1.0342,1.0348,1.0342
2000-03-16,13.9,12.8,11.9,1.0314,1.0316,1.0311
2000-03-17,13.15,12.35,11.7,1.0287,1.0288,1.0286
2000-03-20,13.25,12.35,11.75,1.028,1.0283,1.0278
2000-03-21,12.65,12.0,11.7,1.04,1.0403,1.0399
2000-03-22,12.7,12.1,11.65,1.0406,1.0408,1.0405
2000-03-23,12.15,11.95,11.5,1.0293,1.029,1.0287
2000-03-24,12.25,12.0,11.675,1.0226,1.0229,1.0225
2000-03-27,12.175,12.0,11.6,1.0339,1.0341,1.0337
2000-03-28,12.225,12.175,11.6,1.0411,1.0413,1.0409
2000-03-29,12.775,12.5,11.775,1.0511,1.0513,1.0508
2000-03-30,12.3,12.4,11.65,1.0403,1.0405,1.04
2000-03-31,12.45,12.475,11.95,1.0466,1.0467,1.0464
