Dates,GBPUSDV1M,GBPUSDV3M,GBPUSDV1Y,GBPUSDPX_LAST,GBPUSDPX_BID,GBPUSDPX_ASK
2000-01-03 00:00:00,7.85,8.75,8.95,,,
2000-01-04 00:00:00,7.85,8.7,8.85,,,
2000-01-05 00:00:00,7.95,8.525,8.8,,,
2000-01-06 00:00:00,7.9,8.2,8.55,,,
2000-01-07 00:00:00,7.95,8.35,8.5,,,
2000-01-10 00:00:00,7.95,7.8,8.5,,,
2000-01-11 00:00:00,7.4,7.85,8.55,,,
2000-01-12 00:00:00,7.65,7.9,8.45,,,
2000-01-13 00:00:00,7.3,7.85,8.45,,,
2000-01-14 00:00:00,7.05,7.65,8.175,,,
2000-01-17 00:00:00,7.2,7.525,8.35,,,
2000-01-18 00:00:00,7.25,7.625,8.225,,,
2000-01-19 00:00:00,7.15,7.6,8.25,,,
2000-01-20 00:00:00,6.95,7.7,8.3,,,
2000-01-21 00:00:00,7.25,7.7,8.225,,,
2000-01-24 00:00:00,7.25,7.75,8.3,,,
2000-01-25 00:00:00,7.2,7.625,8.25,1.6452,1.6447,1.6456
2000-01-26 00:00:00,7.175,7.5,8.15,1.6403,1.64,1.6405
2000-01-27 00:00:00,7.35,7.7,8.25,1.6396,1.6393,1.6398
2000-01-28 00:00:00,7.45,7.65,8.15,1.6201,1.6196,1.6206
2000-01-31 00:00:00,7.7,8.0,8.45,1.6162,1.6157,1.6167
2000-02-01 00:00:00,8.1,8.25,8.325,1.615,1.6148,1.6151
2000-02-02 00:00:00,8.4,8.3,8.35,1.6088,1.6083,1.6093
2000-02-03 00:00:00,8.4,8.35,8.45,1.5972,1.597,1.5975
2000-02-04 00:00:00,8.75,8.65,8.5,1.5918,1.5913,1.5923
2000-02-07 00:00:00,8.475,8.55,8.5,1.598,1.5977,1.5982
2000-02-08 00:00:00,8.5,8.4,8.35,1.6113,1.6108,1.6118
2000-02-09 00:00:00,8.65,8.6,8.65,1.6169,1.6164,1.6174
2000-02-10 00:00:00,8.425,8.475,8.525,1.6097,1.6092,1.6102
2000-02-11 00:00:00,8.35,8.55,8.5,1.5936,1.5931,1.5941
2000-02-14 00:00:00,8.6,8.6,8.6,1.588,1.5864,1.5869
2000-02-15 00:00:00,8.625,8.625,8.625,1.596,1.5955,1.5965
2000-02-16 00:00:00,8.45,8.5,8.6,1.6077,1.6074,1.6079
2000-02-17 00:00:00,8.4,8.5,8.6,1.609,1.6087,1.6092
2000-02-18 00:00:00,8.15,8.35,8.55,1.6013,1.6008,1.6018
2000-02-21 00:00:00,8.0,8.325,8.5,1.6005,1.6,1.601
2000-02-22 00:00:00,8.1,8.35,8.425,1.6126,1.6124,1.6129
2000-02-23 00:00:00,8.05,8.25,8.4,1.6039,1.6035,1.6043
2000-02-24 00:00:00,8.1,8.25,8.45,1.6003,1.6001,1.6005
2000-02-25 00:00:00,8.175,8.2,8.4,1.5953,1.5948,1.5958
2000-02-28 00:00:00,9.0,8.75,8.5,1.5958,1.5958,1.5961
2000-02-29 00:00:00,9.65,8.975,8.7,1.5792,1.5789,1.5794
2000-03-01 00:00:00,9.15,8.9,8.625,1.5854,1.5851,1.5856
2000-03-02 00:00:00,9.125,8.9,8.675,1.5766,1.5763,1.5768
2000-03-03 00:00:00,9.025,8.85,8.7,1.5778,1.5773,1.5781
2000-03-06 00:00:00,9.3,8.9,8.75,1.5749,1.5746,1.5751
2000-03-07 00:00:00,9.2,8.9,8.675,1.5804,1.58,1.5808
2000-03-08 00:00:00,9.15,8.75,8.725,1.5817,1.5814,1.5819
2000-03-09 00:00:00,8.7,8.675,8.65,1.5827,1.5824,1.5829
2000-03-10 00:00:00,8.4,8.45,8.45,1.5765,1.576,1.577
2000-03-13 00:00:00,8.6,8.6,8.45,1.5792,1.5787,1.5797
2000-03-14 00:00:00,8.5,8.55,8.6,1.5776,1.5775,1.578
2000-03-15 00:00:00,8.45,8.45,8.45,1.5732,1.5727,1.5737
2000-03-16 00:00:00,8.475,8.4,8.55,1.5771,1.5768,1.5773
2000-03-17 00:00:00,7.65,7.875,8.225,1.5748,1.5743,1.5753
2000-03-20 00:00:00,7.8,8.0,8.2,1.5689,1.5684,1.5693
2000-03-21 00:00:00,7.8,7.875,8.25,1.5717,1.5714,1.5719
2000-03-22 00:00:00,8.0,8.1,8.325,1.5795,1.579,1.58
2000-03-23 00:00:00,7.7,8.0,8.3,1.5867,1.5863,1.5871
2000-03-24 00:00:00,7.8,8.05,8.35,1.5941,1.5936,1.5946
2000-03-27 00:00:00,7.9,8.15,8.35,1.5882,1.588,1.5885
2000-03-28 00:00:00,8.025,8.2,8.35,1.5893,1.589,1.5895
2000-03-29 00:00:00,8.1,8.125,8.35,1.5936,1.5931,1.5941
2000-03-30 00:00:00,7.85,8.05,8.25,1.5948,1.595,1.5955
2000-03-31 00:00:00,7.95,8.2,8.35,1.5911,1.5906,1.5916
2000-04-03 00:00:00,8.075,8.1,8.35,1.5964,1.596,1.5969
2000-04-04 00:00:00,8.05,8.125,8.275,1.5932,1.5929,1.5934
2000-04-05 00:00:00,8.4,8.4,8.45,1.5847,1.5842,1.5852
2000-04-06 00:00:00,7.85,8.05,8.2,1.5815,1.581,1.582
2000-04-07 00:00:00,7.7,7.95,8.25,1.5795,1.5792,1.58
2000-04-10 00:00:00,7.3,7.75,8.15,1.5855,1.5851,1.586
2000-04-11 00:00:00,7.3,7.7,8.05,1.5856,1.5854,1.5859
2000-04-12 00:00:00,7.425,7.7,8.05,1.5886,1.5881,1.5891
2000-04-13 00:00:00,7.2,7.6,8.0,1.5866,1.5865,1.5866
2000-04-14 00:00:00,7.2,7.55,8.1,1.5868,1.5863,1.5873
2000-04-17 00:00:00,7.1,7.55,8.05,1.5805,1.5802,1.5807
2000-04-18 00:00:00,7.05,7.6,7.975,1.5771,1.5768,1.5773
2000-04-19 00:00:00,6.85,7.45,8.05,1.582,1.5815,1.5825
2000-04-20 00:00:00,6.625,7.25,7.8,1.5793,1.579,1.5795
2000-04-21 00:00:00,7.05,7.45,8.05,1.5795,1.579,1.58
2000-04-24 00:00:00,6.45,7.05,7.65,1.5785,1.578,1.579
2000-04-25 00:00:00,6.9,7.3,7.85,1.5812,1.5807,1.5817
2000-04-26 00:00:00,6.75,7.425,7.95,1.5756,1.5754,1.5758
2000-04-27 00:00:00,7.1,7.425,7.95,1.572,1.5718,1.5721
2000-04-28 00:00:00,8.1,8.15,8.2,1.5513,1.5508,1.5518
2000-05-01 00:00:00,8.125,8.25,8.325,1.5536,1.5531,1.5541
2000-05-02 00:00:00,8.1,8.2,8.275,1.5604,1.5599,1.5609
2000-05-03 00:00:00,8.55,8.45,8.4,1.5611,1.5606,1.5616
2000-05-04 00:00:00,9.175,8.95,8.525,1.5412,1.5407,1.5417
2000-05-05 00:00:00,9.75,9.45,8.95,1.5303,1.5298,1.5308
2000-05-08 00:00:00,9.4,9.05,8.8,1.5332,1.5327,1.5337
2000-05-09 00:00:00,9.25,8.85,8.65,1.5311,1.5306,1.5316
2000-05-10 00:00:00,9.75,9.1,8.75,1.5118,1.5115,1.512
2000-05-11 00:00:00,10.9,9.9,9.25,1.5035,1.5033,1.5038
2000-05-12 00:00:00,10.6,9.75,9.25,1.5202,1.5197,1.5207
2000-05-15 00:00:00,10.7,9.75,9.15,1.5054,1.5051,1.5056
2000-05-16 00:00:00,11.3,10.1,9.3,1.4932,1.4929,1.4937
2000-05-17 00:00:00,11.3,10.25,9.45,1.4968,1.4965,1.497
2000-05-18 00:00:00,11.3,10.15,9.15,1.4835,1.483,1.484
2000-05-19 00:00:00,10.75,9.825,9.15,1.487,1.4868,1.4875
2000-05-22 00:00:00,10.3,9.55,9.125,1.4925,1.4922,1.4927
2000-05-23 00:00:00,10.6,9.8,9.05,1.4769,1.4766,1.4771
2000-05-24 00:00:00,10.7,10.0,9.225,1.4753,1.4749,1.4754
2000-05-25 00:00:00,10.775,9.85,9.15,1.4702,1.4699,1.4704
2000-05-26 00:00:00,10.35,9.7,9.25,1.49,1.4895,1.4905
2000-05-29 00:00:00,10.35,9.75,9.15,1.4925,1.4922,1.4927
2000-05-30 00:00:00,10.4,9.7,9.15,1.4966,1.4969,1.4971
2000-05-31 00:00:00,10.225,9.65,9.1,1.5014,1.5011,1.5016
2000-06-01 00:00:00,9.8,9.625,9.1,1.4944,1.4939,1.4949
2000-06-02 00:00:00,9.85,9.55,9.1,1.5098,1.5093,1.5103
2000-06-05 00:00:00,9.4,9.4,9.075,1.5196,1.5191,1.5201
2000-06-06 00:00:00,9.8,9.5,9.025,1.5284,1.5281,1.5286
2000-06-07 00:00:00,9.5,9.275,8.95,1.5224,1.5219,1.5229
2000-06-08 00:00:00,9.7,9.55,9.15,1.5108,1.5103,1.5113
2000-06-09 00:00:00,9.6,9.45,9.15,1.5096,1.5091,1.5101
2000-06-12 00:00:00,9.75,9.6,9.15,1.5131,1.5128,1.5133
2000-06-13 00:00:00,9.75,9.6,9.25,1.5068,1.5065,1.507
2000-06-14 00:00:00,9.95,9.75,9.25,1.499,1.4987,1.4992
2000-06-15 00:00:00,9.75,9.65,9.4,1.5121,1.5118,1.5123
2000-06-16 00:00:00,9.5,9.45,9.25,1.5153,1.5152,1.5157
2000-06-19 00:00:00,9.45,9.45,9.25,1.5116,1.5112,1.5117
2000-06-20 00:00:00,9.625,9.55,9.35,1.5186,1.5181,1.5191
2000-06-21 00:00:00,10.025,9.8,9.35,1.4986,1.499,1.4995
2000-06-22 00:00:00,9.75,9.65,9.25,1.5126,1.5122,1.5127
2000-06-23 00:00:00,9.8,9.65,9.35,1.5011,1.5006,1.5016
2000-06-26 00:00:00,9.95,9.85,9.45,1.4969,1.4967,1.4972
