Dates,USDBRLV1M,USDBRLV3M,USDBRLV1Y,USDBRLPX_LAST,USDBRLPX_BID,USDBRLPX_ASK
2000-01-03,,,,,,
2000-01-04,,,,,,
2000-01-05,,,,,,
2000-01-06,,,,,,
2000-01-07,,,,,,
2000-01-10,,,,,,
2000-01-11,,,,,,
2000-01-12,,,,,,
2000-01-13,,,,,,
2000-01-14,,,,,,
2000-01-17,,,,,,
2000-01-18,,,,,,
2000-01-19,,,,,,
2000-01-20,,,,,,
2000-01-21,,,,,,
2000-01-24,,,,,,
2000-01-25,,,,1.7785,1.778,1.781
2000-01-26,,,,1.7788,1.777,1.78
2000-01-27,,,,1.7803,1.7785,1.7815
2000-01-28,,,,1.799,1.798,1.801
2000-01-31,,,,1.784,1.783,1.785
2000-02-01,,,,1.784,1.7875,1.7905
2000-02-02,,,,1.786,1.785,1.787
2000-02-03,,,,1.7835,1.783,1.784
2000-02-04,,,,1.768,1.767,1.769
2000-02-07,,,,1.769,1.768,1.77
2000-02-08,,,,1.7648,1.7635,1.7665
2000-02-09,,,,1.7688,1.7685,1.7705
2000-02-10,,,,1.767,1.766,1.768
2000-02-11,,,,1.7685,1.768,1.77
2000-02-14,,,,1.772,1.771,1.773
2000-02-15,,,,1.776,1.775,1.777
2000-02-16,,,,1.774,1.773,1.775
2000-02-17,,,,1.771,1.77,1.772
2000-02-18,,,,1.777,1.776,1.778
2000-02-21,,,,1.7785,1.778,1.779
2000-02-22,,,,1.786,1.785,1.787
2000-02-23,,,,1.7835,1.783,1.784
2000-02-24,,,,1.777,1.776,1.778
2000-02-25,,,,1.774,1.773,1.775
2000-02-28,,,,1.777,1.776,1.778
2000-02-29,,,,1.7665,1.766,1.767
2000-03-01,,,,1.763,1.762,1.764
2000-03-02,,,,1.7565,1.756,1.757
2000-03-03,,,,1.745,1.744,1.746
2000-03-06,,,,1.7453,1.744,1.746
2000-03-07,,,,1.7445,1.744,1.746
2000-03-08,,,,1.741,1.74,1.742
2000-03-09,,,,1.7338,1.7334,1.7342
2000-03-10,,,,1.745,1.744,1.746
2000-03-13,,,,1.7445,1.743,1.746
2000-03-14,,,,1.7375,1.737,1.738
2000-03-15,,,,1.7395,1.739,1.74
2000-03-16,,,,1.739,1.738,1.74
2000-03-17,,,,1.739,1.738,1.74
2000-03-20,,,,1.737,1.736,1.738
2000-03-21,,,,1.7355,1.735,1.736
2000-03-22,,,,1.731,1.73,1.731
2000-03-23,,,,1.719,1.718,1.72
2000-03-24,,,,1.7325,1.732,1.733
2000-03-27,,,,1.7515,1.751,1.752
2000-03-28,,,,1.743,1.742,1.744
2000-03-29,,,,1.7445,1.744,1.745
2000-03-30,,,,1.7495,1.749,1.75
2000-03-31,,,,1.736,1.735,1.737
2000-04-03,,,,1.741,1.74,1.742
2000-04-04,,,,1.746,1.745,1.747
2000-04-05,,,,1.7485,1.748,1.749
2000-04-06,,,,1.746,1.745,1.747
2000-04-07,,,,1.741,1.74,1.742
2000-04-10,,,,1.7425,1.742,1.743
2000-04-11,,,,1.743,1.742,1.744
2000-04-12,,,,1.756,1.755,1.757
2000-04-13,,,,1.7825,1.781,1.784
2000-04-14,,,,1.786,1.785,1.787
2000-04-17,,,,1.779,1.778,1.78
2000-04-18,,,,1.762,1.761,1.763
2000-04-19,,,,1.774,1.773,1.775
2000-04-20,,,,1.778,1.777,1.779
2000-04-21,,,,1.778,1.778,1.778
2000-04-24,,,,1.7925,1.792,1.793
2000-04-25,,,,1.789,1.788,1.79
2000-04-26,,,,1.8015,1.8,1.803
2000-04-27,,,,1.807,1.806,1.808
2000-04-28,,,,1.807,1.806,1.808
2000-05-01,,,,1.807,1.807,1.807
2000-05-02,,,,1.803,1.802,1.804
2000-05-03,,,,1.815,1.814,1.816
2000-05-04,,,,1.8105,1.81,1.811
2000-05-05,,,,1.801,1.8,1.802
2000-05-08,,,,1.806,1.805,1.807
2000-05-09,,,,1.812,1.811,1.813
2000-05-10,,,,1.819,1.818,1.82
2000-05-11,,,,1.825,1.824,1.826
2000-05-12,,,,1.836,1.835,1.837
2000-05-15,,,,1.824,1.823,1.825
2000-05-16,,,,1.819,1.818,1.82
2000-05-17,,,,1.83,1.829,1.831
2000-05-18,,,,1.833,1.832,1.834
2000-05-19,,,,1.839,1.838,1.84
2000-05-22,,,,1.851,1.85,1.852
2000-05-23,,,,1.855,1.854,1.856
2000-05-24,,,,1.84,1.839,1.841
2000-05-25,,,,1.8475,1.847,1.848
2000-05-26,,,,1.837,1.836,1.838
2000-05-29,,,,1.838,1.837,1.839
2000-05-30,,,,1.831,1.83,1.832
2000-05-31,,,,1.824,1.823,1.825
2000-06-01,,,,1.819,1.818,1.82
2000-06-02,,,,1.801,1.8,1.802
2000-06-05,,,,1.791,1.79,1.792
2000-06-06,,,,1.8005,1.8,1.801
2000-06-07,,,,1.795,1.794,1.796
2000-06-08,,,,1.803,1.802,1.804
2000-06-09,,,,1.802,1.801,1.803
2000-06-12,,,,1.806,1.805,1.807
2000-06-13,,,,1.811,1.81,1.812
2000-06-14,,,,1.81,1.809,1.811
2000-06-15,,,,1.811,1.81,1.812
2000-06-16,,,,1.803,1.802,1.804
2000-06-19,,,,1.803,1.802,1.804
2000-06-20,,,,1.8005,1.8,1.801
2000-06-21,,,,1.811,1.81,1.812
2000-06-22,,,,1.8115,1.81,1.813
2000-06-23,,,,1.826,1.825,1.827
2000-06-26,,,,1.822,1.821,1.823
2000-06-27,,,,1.823,1.822,1.824
2000-06-28,,,,1.8195,1.819,1.82
2000-06-29,,,,1.81,1.809,1.811
2000-06-30,,,,1.806,1.805,1.807
2000-07-03,,,,1.814,1.813,1.815
2000-07-04,,,,1.8105,1.81,1.811
2000-07-05,,,,1.8035,1.803,1.804
2000-07-06,,,,1.8015,1.801,1.802
