Dates,USDRUBV1M,USDRUBV3M,USDRUBV1Y,USDRUBPX_LAST,USDRUBPX_BID,USDRUBPX_ASK
,,,,,28.485,28.52
2000-01-25,,,,28.54,28.49,28.59
2000-01-26,,,,28.6075,28.59,28.625
2000-01-27,,,,28.5775,28.565,28.59
2000-01-28,,,,28.635,28.62,28.65
2000-01-31,,,,28.635,28.625,28.645
2000-02-01,,,,28.565,28.56,28.57
2000-02-02,,,,28.715,28.71,28.72
2000-02-03,,,,28.7875,28.78,28.795
2000-02-04,,,,28.79,28.78,28.8
2000-02-07,,,,28.7275,28.725,28.73
2000-02-08,,,,28.745,28.72,28.77
2000-02-09,,,,28.675,28.65,28.7
2000-02-10,,,,28.69,28.68,28.7
2000-02-11,,,,28.875,28.86,28.89
2000-02-14,,,,28.73,28.72,28.74
2000-02-15,,,,28.72,28.71,28.73
2000-02-16,,,,28.785,28.78,28.79
2000-02-17,,,,28.81,28.8,28.82
2000-02-18,,,,28.8356,28.8311,28.84
2000-02-21,,,,28.875,28.87,28.88
2000-02-22,,,,28.89,28.88,28.9
2000-02-23,,,,28.815,28.81,28.82
2000-02-24,,,,28.74,28.73,28.75
2000-02-25,,,,28.71,28.7,28.72
2000-02-28,,,,28.655,28.65,28.66
2000-02-29,,,,28.7,28.69,28.71
2000-03-01,,,,28.61,28.6,28.62
2000-03-02,,,,28.6098,28.6098,28.6098
2000-03-03,,,,28.62,28.61,28.63
2000-03-06,,,,28.575,28.57,28.58
2000-03-07,,,,28.5525,28.545,28.5599
2000-03-08,,,,28.58,28.56,28.6
2000-03-09,,,,28.54,28.5,28.58
2000-03-10,,,,28.505,28.5,28.51
2000-03-13,,,,28.53,28.52,28.54
2000-03-14,,,,28.5,28.495,28.505
2000-03-15,,,,28.44,28.43,28.45
2000-03-16,,,,28.435,28.43,28.44
2000-03-17,,,,28.4378,28.4056,28.47
2000-03-20,,,,28.425,28.41,28.44
2000-03-21,,,,28.365,28.35,28.38
2000-03-22,,,,28.385,28.37,28.4
2000-03-23,,,,28.355,28.35,28.36
2000-03-24,,,,28.35,28.34,28.36
2000-03-27,,,,28.2863,28.285,28.2875
2000-03-28,,,,28.285,28.27,28.3
2000-03-29,,,,28.39,28.38,28.4
2000-03-30,,,,28.665,28.64,28.69
2000-03-31,,,,28.66,28.65,28.67
2000-04-03,,,,28.765,28.76,28.77
2000-04-04,,,,28.735,28.73,28.74
2000-04-05,,,,28.705,28.7,28.71
2000-04-06,,,,28.665,28.66,28.67
2000-04-07,,,,28.645,28.64,28.65
2000-04-10,,,,28.615,28.61,28.62
2000-04-11,,,,28.63,28.58,28.68
2000-04-12,,,,28.54,28.53,28.55
2000-04-13,,,,28.56,28.51,28.61
2000-04-14,,,,28.4875,28.48,28.495
2000-04-17,,,,28.865,28.85,28.88
2000-04-18,,,,28.755,28.71,28.8
2000-04-19,,,,28.615,28.6,28.63
2000-04-20,,,,28.615,28.6,28.63
2000-04-21,,,,28.615,28.615,28.615
2000-04-24,,,,28.55,28.54,28.56
2000-04-25,,,,28.495,28.485,28.505
2000-04-26,,,,28.485,28.47,28.5
2000-04-27,,,,28.465,28.45,28.48
2000-04-28,,,,28.43,28.42,28.44
2000-05-01,,,,28.43,28.43,28.43
2000-05-02,,,,28.43,28.43,28.43
2000-05-03,,,,28.4,28.39,28.41
2000-05-04,,,,28.39,28.38,28.4
2000-05-05,,,,28.4,28.395,28.405
2000-05-08,,,,28.4,28.4,28.4
2000-05-09,,,,28.405,28.38,28.43
2000-05-10,,,,28.32,28.31,28.33
2000-05-11,,,,28.3,28.29,28.31
2000-05-12,,,,28.28,28.27,28.29
2000-05-15,,,,28.3,28.3,28.3
2000-05-16,,,,28.275,28.265,28.285
2000-05-17,,,,28.41,28.4,28.42
2000-05-18,,,,28.34,28.33,28.35
2000-05-19,,,,28.34,28.33,28.35
2000-05-22,,,,28.295,28.285,28.305
2000-05-23,,,,28.3425,28.3325,28.3525
2000-05-24,,,,28.32,28.31,28.33
2000-05-25,,,,28.32,28.31,28.33
2000-05-26,,,,28.285,28.28,28.29
2000-05-29,,,,28.2575,28.25,28.265
2000-05-30,,,,28.2575,28.2575,28.2575
2000-05-31,,,,28.2525,28.2425,28.2625
2000-06-01,,,,28.3125,28.3025,28.3225
2000-06-02,,,,28.4,28.39,28.41
2000-06-05,,,,28.32,28.31,28.33
2000-06-06,,,,28.31,28.3,28.32
2000-06-07,,,,28.305,28.29,28.32
2000-06-08,,,,28.265,28.255,28.275
2000-06-09,,,,28.39,28.38,28.4
2000-06-12,,,,28.385,28.36,28.41
2000-06-13,,,,28.3,28.29,28.31
2000-06-14,,,,28.36,28.345,28.375
2000-06-15,,,,28.3175,28.3125,28.3225
2000-06-16,,,,28.285,28.28,28.29
2000-06-19,,,,28.295,28.285,28.305
2000-06-20,,,,28.2525,28.2425,28.2625
2000-06-21,,,,28.235,28.23,28.24
2000-06-22,,,,28.235,28.22,28.25
2000-06-23,,,,28.16,28.145,28.175
2000-06-26,,,,28.0975,28.0875,28.1075
2000-06-27,,,,28.115,28.1,28.13
2000-06-28,,,,28.055,28.05,28.06
2000-06-29,,,,28.075,28.065,28.085
2000-06-30,,,,28.07,28.06,28.08
2000-07-03,,,,28.09,28.08,28.1
2000-07-04,,,,28.045,28.04,28.05
2000-07-05,,,,28.045,28.04,28.05
2000-07-06,,,,27.99,27.98,28.0
2000-07-07,,,,27.9975,27.9925,28.0025
2000-07-10,,,,27.985,27.98,27.99
2000-07-11,,,,27.92,27.91,27.93
2000-07-12,,,,27.86,27.85,27.87
2000-07-13,,,,27.845,27.84,27.85
2000-07-14,,,,27.855,27.85,27.86
2000-07-17,,,,27.8275,27.8225,27.8325
2000-07-18,,,,27.811,27.805,27.817
2000-07-19,,,,27.71,27.705,27.715
2000-07-20,,,,27.525,27.52,27.53
2000-07-21,,,,27.64,27.63,27.65
2000-07-24,,,,27.6375,27.6275,27.6475
2000-07-25,,,,27.695,27.685,27.705
2000-07-26,,,,27.66,27.65,27.67
2000-07-27,,,,27.765,27.755,27.775
2000-07-28,,,,27.82,27.81,27.83
2000-07-31,,,,27.86,27.85,27.87
2000-08-01,,,,27.88,27.87,27.89
2000-08-02,,,,27.78,27.77,27.79
2000-08-03,,,,27.744,27.734,27.754
2000-08-04,,,,27.745,27.725,27.745
2000-08-07,,,,27.737,27.727,27.747
2000-08-08,,,,27.717,27.707,27.727
2000-08-09,,,,27.715,27.705,27.725
2000-08-10,,,,27.703,27.693,27.713
2000-08-11,,,,27.706,27.696,27.716
2000-08-14,,,,27.717,27.707,27.727
2000-08-15,,,,27.808,27.798,27.818
2000-08-16,,,,27.751,27.741,27.761
2000-08-17,,,,27.771,27.761,27.781
2000-08-18,,,,27.74,27.73,27.75
2000-08-21,,,,27.74,27.73,27.75
2000-08-22,,,,27.738,27.728,27.748
2000-08-23,,,,27.708,27.698,27.718
2000-08-24,,,,27.713,27.703,27.723
2000-08-25,,,,27.721,27.711,27.731
2000-08-28,,,,27.74,27.73,27.75
2000-08-29,,,,27.764,27.754,27.774
2000-08-30,,,,27.782,27.772,27.792
2000-08-31,,,,27.775,27.765,27.785
2000-09-01,,,,27.767,27.757,27.777
2000-09-04,,,,27.785,27.775,27.795
2000-09-05,,,,27.864,27.854,27.874
2000-09-06,,,,27.867,27.857,27.877
2000-09-07,,,,27.864,27.854,27.874
2000-09-08,,,,27.881,27.871,27.891
2000-09-11,,,,27.885,27.88,27.89
2000-09-12,,,,27.833,27.823,27.843
2000-09-13,,,,27.813,27.803,27.823
2000-09-14,,,,27.768,27.758,27.778
2000-09-15,,,,27.742,27.732,27.752
2000-09-18,,,,27.768,27.758,27.778
2000-09-19,,,,27.811,27.801,27.821
2000-09-20,,,,27.885,27.875,27.895
2000-09-21,,,,27.798,27.788,27.808
2000-09-22,,,,27.839,27.829,27.849
2000-09-25,,,,27.87,27.86,27.88
2000-09-26,,,,27.853,27.843,27.863
2000-09-27,,,,27.771,27.761,27.781
2000-09-28,,,,27.76,27.75,27.77
2000-09-29,,,,27.782,27.772,27.792
2000-10-02,,,,27.763,27.753,27.773
2000-10-03,,,,27.803,27.793,27.813
2000-10-04,,,,27.858,27.848,27.868
2000-10-05,,,,27.849,27.839,27.859
2000-10-06,,,,27.951,27.941,27.961
2000-10-09,,,,27.933,27.923,27.943
2000-10-10,,,,27.932,27.922,27.942
2000-10-11,,,,27.863,27.853,27.873
2000-10-12,,,,27.924,27.914,27.934
2000-10-13,,,,27.864,27.854,27.874
2000-10-16,,,,27.862,27.852,27.872
2000-10-17,,,,27.846,27.836,27.856
2000-10-18,,,,27.939,27.929,27.949
2000-10-19,,,,27.911,27.901,27.921
2000-10-20,,,,27.958,27.948,27.968
2000-10-23,,,,27.951,27.941,27.961
2000-10-24,,,,27.9,27.89,27.91
2000-10-25,,,,27.926,27.916,27.936
2000-10-26,,,,27.899,27.889,27.909
2000-10-27,,,,27.831,27.821,27.841
2000-10-30,,,,27.841,27.831,27.851
2000-10-31,,,,27.882,27.872,27.892
2000-11-01,,,,27.86,27.85,27.87
2000-11-02,,,,27.873,27.863,27.883
2000-11-03,,,,27.855,27.845,27.865
2000-11-06,,,,27.847,27.837,27.857
2000-11-07,,,,27.791,27.781,27.801
2000-11-08,,,,27.809,27.799,27.819
2000-11-09,,,,27.756,27.746,27.766
2000-11-10,,,,27.826,27.816,27.836
2000-11-13,,,,27.746,27.736,27.756
2000-11-14,,,,27.744,27.734,27.754
2000-11-15,,,,27.767,27.757,27.777
2000-11-16,,,,27.819,27.809,27.829
2000-11-17,,,,27.819,27.809,27.829
2000-11-20,,,,27.878,27.868,27.888
2000-11-21,,,,27.838,27.838,27.838
2000-11-22,,,,27.916,27.906,27.926
2000-11-23,,,,27.85,27.878,27.878
2000-11-24,,,,27.906,27.896,27.916
2000-11-27,,,,27.874,27.864,27.884
2000-11-28,,,,27.88,27.87,27.89
2000-11-29,,,,27.911,27.901,27.921
2000-11-30,,,,27.934,27.924,27.944
2000-12-01,,,,27.884,27.874,27.894
2000-12-04,,,,27.939,27.929,27.949
2000-12-05,,,,27.947,27.937,27.957
2000-12-06,,,,27.938,27.928,27.948
2000-12-07,,,,27.96,27.95,27.97
2000-12-08,,,,27.991,27.981,28.001
2000-12-11,,,,27.971,27.961,27.981
2000-12-12,,,,27.925,27.915,27.935
2000-12-13,,,,27.982,27.972,27.992
2000-12-14,,,,27.944,27.934,27.954
2000-12-15,,,,27.97,27.96,27.98
2000-12-18,,,,27.989,27.979,27.999
2000-12-19,,,,27.964,27.954,27.974
2000-12-20,,,,27.973,27.963,27.983
2000-12-21,,,,27.976,27.966,27.986
2000-12-22,,,,27.9757,27.997,27.997
2000-12-25,,,,27.9757,27.9757,27.9757
2000-12-26,,,,27.888,28.164,28.164
2000-12-27,,,,28.16,28.405,28.405
2000-12-28,,,,28.16,28.612,28.612
2000-12-29,,,,28.16,28.644,28.644
2001-01-01,,,,28.16,28.16,28.16
2001-01-02,,,,28.529,28.519,28.539
2001-01-03,,,,28.5249,28.559,28.559
2001-01-04,,,,28.16,28.416,28.416
2001-01-05,,,,28.439,28.429,28.449
2001-01-08,,,,28.395,28.385,28.405
2001-01-09,,,,28.396,28.386,28.406
2001-01-10,,,,28.39,28.435,28.435
2001-01-11,,,,28.333,28.323,28.343
2001-01-12,,,,28.319,28.309,28.329
2001-01-15,,,,28.324,28.314,28.334
2001-01-16,,,,28.326,28.362,28.362
2001-01-17,,,,28.37,28.408,28.408
2001-01-18,,,,28.359,28.349,28.369
2001-01-19,,,,28.363,28.353,28.373
2001-01-22,,,,28.34,28.4,28.4
2001-01-23,,,,28.37,28.39,28.39
2001-01-24,,,,28.39,28.424,28.424
2001-01-25,,,,28.377,28.367,28.387
2001-01-26,,,,28.381,28.371,28.391
2001-01-29,,,,28.379,28.369,28.389
2001-01-30,,,,28.38,28.404,28.404
2001-01-31,,,,28.37,28.464,28.464
2001-02-01,,,,28.461,28.451,28.471
2001-02-02,,,,28.458,28.448,28.468
2001-02-05,,,,28.459,28.449,28.469
