Dates,USDZARV1M,USDZARV3M,USDZARV1Y,USDZARPX_LAST,USDZARPX_BID,USDZARPX_ASK
,,,,,6.162,6.164
2000-01-25,6.4,6.95,8.7,6.1565,6.155,6.158
2000-01-26,6.0,6.55,8.5,6.17,6.165,6.175
2000-01-27,7.3,7.65,9.1,6.221,6.216,6.226
2000-01-28,9.05,9.45,9.9,6.3375,6.335,6.34
2000-01-31,8.65,8.7,9.4,6.306,6.3035,6.3085
2000-02-01,8.75,8.625,9.125,6.256,6.253,6.258
2000-02-02,7.6,7.85,9.0,6.2875,6.285,6.29
2000-02-03,7.375,7.65,8.8,6.2545,6.252,6.257
2000-02-04,7.5,7.75,8.8,6.2575,6.25,6.2575
2000-02-07,7.85,8.0,8.975,6.2845,6.284,6.287
2000-02-08,8.5,8.65,9.125,6.2875,6.285,6.29
2000-02-09,8.2,8.225,9.05,6.3325,6.33,6.335
2000-02-10,8.8,8.95,9.3,6.32,6.315,6.325
2000-02-11,10.5,10.45,10.3,6.3345,6.332,6.337
2000-02-14,9.25,8.875,9.625,6.3355,6.333,6.338
2000-02-15,9.25,9.225,9.375,6.3488,6.3475,6.3525
2000-02-16,9.375,9.225,9.75,6.3233,6.323,6.3265
2000-02-17,9.275,9.375,9.775,6.3075,6.305,6.31
2000-02-18,8.9,9.15,9.5,6.3225,6.32,6.325
2000-02-21,9.0,8.875,9.375,6.29,6.285,6.295
2000-02-22,9.1,9.25,9.225,6.309,6.315,6.318
2000-02-23,8.9,9.05,9.3,6.3235,6.321,6.326
2000-02-24,8.875,9.05,9.3,6.3335,6.331,6.336
2000-02-25,8.65,8.75,9.2,6.2825,6.28,6.285
2000-02-28,9.2,9.35,9.5,6.3575,6.355,6.36
2000-02-29,9.025,8.875,9.2,6.334,6.333,6.336
2000-03-01,8.625,8.65,9.3,6.3465,6.344,6.349
2000-03-02,8.85,8.8,9.25,6.3805,6.378,6.383
2000-03-03,10.75,10.55,10.1,6.4538,6.4525,6.4575
2000-03-06,11.05,10.25,10.0,6.495,6.4875,6.495
2000-03-07,11.225,10.375,10.125,6.531,6.5275,6.5325
2000-03-08,10.3,10.15,10.1,6.47,6.465,6.475
2000-03-09,9.25,9.65,9.9,6.391,6.39,6.393
2000-03-10,9.425,9.55,9.75,6.395,6.4015,6.4065
2000-03-13,9.4,10.0,9.85,6.4275,6.4225,6.4325
2000-03-14,9.8,9.85,9.9,6.4281,6.424,6.429
2000-03-15,10.25,10.25,10.35,6.4668,6.4635,6.4685
2000-03-16,9.95,9.95,10.0,6.4415,6.439,6.444
2000-03-17,9.95,9.95,10.15,6.4721,6.4678,6.4728
2000-03-20,10.0,10.05,9.9,6.4785,6.479,6.482
2000-03-21,9.775,9.825,10.0,6.4925,6.49,6.495
2000-03-22,9.35,9.55,9.85,6.4565,6.454,6.459
2000-03-23,9.625,9.85,9.85,6.4775,6.475,6.48
2000-03-24,9.4,9.65,9.7,6.4795,6.477,6.482
2000-03-27,9.2,9.55,9.8,6.472,6.47,6.475
2000-03-28,9.2,9.25,9.75,6.485,6.48,6.49
2000-03-29,10.4,10.35,10.25,6.5125,6.5175,6.515
2000-03-30,11.1,10.85,10.6,6.5913,6.59,6.595
2000-03-31,10.225,10.1,10.1,6.525,6.5225,6.5275
2000-04-03,10.075,9.9,10.0,6.559,6.5665,6.5615
2000-04-04,9.8,9.95,10.15,6.5575,6.555,6.56
2000-04-05,10.875,10.6,10.55,6.588,6.581,6.591
2000-04-06,10.5,9.005,10.375,6.5815,6.579,6.584
2000-04-07,10.8,10.75,10.7,6.5615,6.56,6.563
2000-04-10,10.25,10.45,10.75,6.5655,6.56,6.57
2000-04-11,10.75,10.45,10.75,6.59,6.5875,6.5925
2000-04-12,10.55,10.65,10.7,6.5875,6.59,6.59
2000-04-13,10.5,10.45,10.7,6.5705,6.568,6.573
2000-04-14,10.9,10.85,10.75,6.5955,6.593,6.598
2000-04-17,11.5,11.25,11.0,6.613,6.61,6.615
2000-04-18,11.3,11.05,11.0,6.5865,6.585,6.59
2000-04-19,11.2,11.0,11.05,6.6565,6.654,6.659
2000-04-20,11.1,11.0,11.0,6.715,6.7125,6.7175
2000-04-21,11.1,11.0,11.0,6.7326,6.7387,6.7438
2000-04-24,11.1,11.0,11.0,6.725,6.72,6.73
2000-04-25,12.3,12.35,12.1,6.7375,6.735,6.74
2000-04-26,12.5,11.975,11.925,6.809,6.808,6.818
2000-04-27,14.8,13.35,12.6,6.846,6.84,6.85
2000-04-28,14.8,13.35,12.7,6.7885,6.787,6.792
2000-05-01,14.8,13.35,12.7,6.78,6.77,6.79
2000-05-02,13.0,12.375,11.875,6.77,6.7675,6.7725
2000-05-03,14.375,13.0,12.375,6.8375,6.835,6.84
2000-05-04,15.1,12.65,12.2,6.97,6.965,6.975
2000-05-05,15.3,13.85,13.2,6.96,6.955,6.965
